obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"720.0790"	"0.0010"	"720.0797+"	"15"	""		"77269.145"	"91152.670"	"5p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"		""	"L4739"	
"720.9140"	"0.0010"	"720.912+"	"5"	""		"80322.746"	"94190.24"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).9p"	"2[3/2]"	"2"		""	"L4739"	
"722.0240"	"0.0010"	"722.025+"	"1"	""		"80322.746"	"94168.86"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).9p"	"2[3/2]"	"1"		""	"L4739"	
"722.264"	"0.020"	"722.31+"	"20"	""		"91447.474"	"105288.2"	"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<1/2>).6f"	"2[5/2]"	"3"		""	"L4103"	
"723.8200"	"0.0010"	"723.820+"	"3"	""		"80322.746"	"94134.53"	"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).9p"	"2[5/2]"	"3"		""	"L4739"	
"724.4940"	"0.0010"	"724.4891+"	"20*"	""		"80970.438"	"94769.465"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).6f"	"2[7/2]"	"3"		""	"L4739"	
"724.4940"	"0.0010"	"724.4860+"	"20*"	""		"80970.438"	"94769.524"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).6f"	"2[7/2]"	"4"		""	"L4739"	
"724.9920"	"0.0010"	"724.9898+"	"2"	""		"80970.438"	"94759.935"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).6f"	"2[5/2]"	"2"		""	"L4739"	
"725.0870"	"0.0010"	"725.0855+"	"5h"	""		"80970.438"	"94758.116"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).6f"	"2[5/2]"	"3"		""	"L4739"	
"725.7940"	"0.0010"	"725.7908+"	"60"	""		"80970.438"	"94744.718"	"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	"5p5.(2P*<3/2>).6f"	"2[9/2]"	"4"		""	"L4739"	
