obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"564.956177"	"564.95617+"	"100"	"1.29e+05"	C+	"85191.6166"	"102887.1936"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4s2.4p5.(2P*<3/2>).6p"	"2[1/2]"	"1"		"T3952n,T3378"	"L11281"	
"566.267"	"566.2649+"	"3"	""		"92964.3943"	"110619.075"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).10s"	"2[3/2]*"	"1"		""	"L7408"	
"566.609"	"566.6088+"	"1"	""		"92964.3943"	"110608.359"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).10s"	"2[3/2]*"	"2"		""	"L7408"	
"567.24509"	"567.24508+"	"50"	"1.5e+04"	C	"79971.7417"	"97595.9153"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"		"T7199"	"L11281"	
"569.654"	"569.6522+"	"3-"	""		"92964.3943"	"110514.095"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).8d"	"2[3/2]*"	"1"		""	"L7408"	
"569.695"	"569.6934+"	"1"	""		"92964.3943"	"110512.827"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).8d"	"2[3/2]*"	"2"		""	"L7408"	
"570.21704"	"570.21703+"	"10"	""		"92964.3943"	"110496.7122"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).8d"	"2[5/2]*"	"2"		""	"L11281"	
"570.75129"	"570.75126+"	"40"	"2.59e+04"	D+	"85846.7046"	"103362.6124"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"2"		"T3952n,T9012"	"L11281"	
"571.411"	"571.4094+"	"2"	""		"93123.3409"	"110619.075"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).10s"	"2[3/2]*"	"1"		""	"L7408"	
"571.761"	"571.7596+"	"3"	""		"93123.3409"	"110608.359"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).10s"	"2[3/2]*"	"2"		""	"L7408"	
"572.18771"	"572.18771+"	"10"	""		"92307.3786"	"109779.3140"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).9s"	"2[3/2]*"	"1"		""	"L11281"	
"572.356"	"572.35699+"	"15"	"8.3e+03"	C	"85846.7046"	"103313.4726"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"1"		"T3952n,T3378"	"L7408"	
"572.65878"	"572.65879+"	"20"	""		"92294.4012"	"109751.9639"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		""	"L11281"	
"573.086"	"573.08481+"	"4"	""		"92307.3786"	"109751.9639"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).9s"	"2[3/2]*"	"2"		""	"L7408"	
"574.902"	"574.9007+"	"5"	""		"93123.3409"	"110512.827"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[3/2]*"	"2"		""	"L7408"	
"575.057"	"575.0558+"	"10"	""		"93123.3409"	"110508.136"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[5/2]*"	"3"		""	"L7408"	
"575.433"	"575.43392+"	"1"	""		"93123.3409"	"110496.7122"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[5/2]*"	"2"		""	"L7408"	
"575.504"	"575.50477+"	"2"	""		"92964.3943"	"110335.6269"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).8d"	"2[1/2]*"	"0"		""	"L7408"	
"576.28954"	"576.28952+"	"4"	""		"93123.3409"	"110470.9189"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[7/2]*"	"3"		""	"L11281"	
"577.556"	"577.5573+"	"2"	""		"80916.7680"	"98226.268"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	E2	""	"L7408"	
"578.38938"	"578.38937+"	"10"	"2.94e+05"	D+	"92294.4012"	"109578.9990"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"		"T3774n,T3599,u41"	"L11281"	
"578.729"	"578.72957+"	"6"	"3.1e+03"	D+	"85846.7046"	"103121.1419"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<3/2>).6p"	"2[5/2]"	"2"		"T3952n,T3378,T9012"	"L7408"	
"578.824"	"578.82396+"	"7"	"2.07e+05"	D+	"92307.3786"	"109578.9990"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).7d"	"2[5/2]*"	"3"		"T3774n,T3599,u41"	"L7408"	
"579.99"	"580.0+"	""	""		"97595.9153"	"114833."	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<1/2>).7d"	"2[3/2]*"	"2"		""	"L7261"	
"580.117"	"580.11693+"	"2"	""		"92294.4012"	"109527.5268"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		""	"L7408"	
"580.554126"	"580.55412+"	"20"	"9.0e+05"	D+	"92307.3786"	"109527.5268"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).7d"	"2[5/2]*"	"2"		"T3774n,T3599,u41"	"L11281"	
"580.69"	"580.69+"	""	""		"97919.1468"	"115135.4"	"4s2.4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<1/2>).9s"	"2[1/2]*"	"1"		""	"L7261"	
"581.080"	"581.08125+"	"8"	"1.75e+05"	D+	"91168.5150"	"108373.0423"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).8s"	"2[3/2]*"	"1"		"T3600n,u41"	"L7408"	
"581.57"	"581.56+"	""	""		"97945.1664"	"115135.4"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<1/2>).9s"	"2[1/2]*"	"1"		""	"L7261"	
"582.01179"	"582.01179+"	"15"	""		"92294.4012"	"109471.4214"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"		""	"L11281"	
"582.351"	"582.35234+"	"3"	""		"93123.3409"	"110290.3165"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).8d"	"2[1/2]*"	"1"		""	"L7408"	
"582.45185"	"582.45184+"	"40"	""		"92307.3786"	"109471.4214"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"		""	"L11281"	
"582.707"	"582.70903+"	"20"	"7.8e+05"	C	"91168.5150"	"108324.9822"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	"4s2.4p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T3600n,u41"	"L7408"	
"583.285661"	"583.28566+"	"100"	""		"92294.4012"	"109433.9079"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<3/2>).7d"	"2[7/2]*"	"4"		""	"L11281"	
