obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"500.5300"	""	"6.51e+06"	C+	"205654.22"	"225627.47"	"2s.2p2.(4P).3s"	"5P"	"2"	"2s.2p2.(4P).3p"	"5P*"	"2"		"T5520LS"	""	
"500.732"	"500.7328"	"550"	"7.43e+07"	B+	"168892.21"	"188857.37"	"2s2.2p.3p"	"3S"	"1"	"2s2.2p.3d"	"3P*"	"2"		"T7333"	"L3513"	
"501.062"	"501.0621"	"450"	"2.10e+07"	B	"148940.17"	"168892.21"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.3p"	"3S"	"1"		"T7333"	"L3513"	
""	"501.1314"	""	"5.84e+07"	C+	"205654.22"	"225603.50"	"2s.2p2.(4P).3s"	"5P"	"2"	"2s.2p2.(4P).3p"	"5P*"	"1"		"T5520LS"	""	
""	"501.2036"	""	"5.19e+07"	C+	"205724.81"	"225671.22"	"2s.2p2.(4P).3s"	"5P"	"3"	"2s.2p2.(4P).3p"	"5P*"	"3"		"T5520LS"	""	
"501.639"	"501.6381"	"360"	"1.59e+07"	A	"166582.45"	"186511.58"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.3d"	"3F*"	"2"		"T7333"	"L3513"	
""	"502.2074"	""	"1.09e+06"	C+	"203162.48"	"223069.02"	"2s2.2p.4p"	"3P"	"0"	"2s.2p2.(4P).3p"	"3S*"	"1"		"T5520LS"	""	
""	"502.3053"	""	"3.61e+07"	C+	"205724.81"	"225627.47"	"2s.2p2.(4P).3s"	"5P"	"3"	"2s.2p2.(4P).3p"	"5P*"	"2"		"T5520LS"	""	
"502.566"	"502.5659"	"360"	"1.04e+07"	A	"166678.64"	"186570.98"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"3F*"	"3"		"T7333"	"L3513"	
""	"502.8781"	""	"3.27e+06"	C+	"203189.03"	"223069.02"	"2s2.2p.4p"	"3P"	"1"	"2s.2p2.(4P).3p"	"3S*"	"1"		"T5520LS"	""	
""	"504.0711"	""	"3.65e+05"	A	"166678.64"	"186511.58"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.3d"	"3F*"	"2"		"T7333"	""	
"504.510"	"504.5099"	"550"	"3.37e+07"	B	"149076.52"	"168892.21"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.3p"	"3S"	"1"		"T7333"	"L3513"	
""	"504.6538"	""	"5.39e+06"	C+	"203258.98"	"223069.02"	"2s2.2p.4p"	"3P"	"2"	"2s.2p2.(4P).3p"	"3S*"	"1"		"T5520LS"	""	
""	"507.3592"	""	"2.43e+06"	B	"149187.80"	"168892.21"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.3p"	"3S"	"1"		"T7333"	""	
""	"510.4445"	""	"1.01e+07"	C	"178273.38"	"197858.69"	"2s2.2p.3p"	"1S"	"0"	"2s2.2p.4s"	"1P*"	"1"		"T5520,T6385"	""	
