obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"640.22480"	"0.00010"	"640.22472"	"0.00006"	"20000"	"5.149e+07"	AAA	"134041.8400"	"149657.0392"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"		"T4273"	"L7292"	
"640.97469"	"0.00040"	"640.97485"	"0.00006"	"1500"	"1.41e+06"	B+	"150315.8612"	"165912.7861"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T2734"	"L4498"	
"642.17044"	"0.00040"	"642.17053"	"0.00006"	"1000"	"2.10e+06"	B+	"151038.4524"	"166606.3370"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"		"T2734"	"L4498"	
"644.47118"	"0.00004"	"644.47098"	"0.00006"	"1500"	"1.16e+06"	B+	"150315.8612"	"165828.1766"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T2734"	"L3451"	
"650.65277"	"0.00005"	"650.65281"	"0.00010"	"15000"	"3.00e+07"	B+	"134459.2871"	"149824.2215"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"		"T2733"	"L7292"	
"653.28824"	"0.00005"	"653.28822"	"0.00010"	"1000"	"1.08e+07"	B+	"134818.6405"	"150121.5922"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"0"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"		"T2733"	"L7292"	
"659.89528"	"0.00005"	"659.89529"	"0.00010"	"10000"	"2.32e+07"	B+	"135888.7173"	"151038.4524"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"		"T2733"	"L7292"	
"660.29007"	"0.00040"	"660.29020"	"0.00006"	"1000"	"4.76e+05"	B+	"150772.1118"	"165912.7861"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T2734"	"L4498"	
"664.00095"	"0.00040"	"664.00081"	"0.00006"	"100"	"6.21e+04"	B+	"150772.1118"	"165828.1766"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"		"T2734"	"L4498"	
"664.080"	"0.002"	"664.07962"	"0.00006"	"50"	"3.80e+03"	C	"150858.5079"	"165912.7861"	"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"		"T2734"	"L7441"	
"665.20925"	"0.00004"	"665.20927"	"0.00010"	"1500"	"2.90e+05"	B	"135888.7173"	"150917.4307"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"0"		"T2733"	"L3451"	
