obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"390.59632"	"390.59630+"	"5"	""		"11395.350"	"36989.981"	"6s.5d"	"1D"	"2"	"5d.7p"	"3P*"	"1"		""	"L9224"	
"390.99092"	"390.99092+"	"272"	"4.9e+07"	E	"9033.966"	"34602.765"	"6s.5d"	"3D"	"1"	"6s.4f"	"3F*"	"2"		"T4515"	"L9224"	
"391.72520"	"391.72520+"	"4"	""		"9215.501"	"34736.373"	"6s.5d"	"3D"	"2"	"6s.4f"	"1F*"	"3"		""	"L9224"	
"393.57167"	"393.57167+"	"423"	"4.7e+07"	E	"9215.501"	"34616.643"	"6s.5d"	"3D"	"2"	"6s.4f"	"3F*"	"3"		"T4515"	"L9224"	
"393.78681"	"393.78682+"	"59"	"1.1e+07"	E	"9215.501"	"34602.765"	"6s.5d"	"3D"	"2"	"6s.4f"	"3F*"	"2"		"T4515"	"L9224"	
"394.55928"	"394.55927+"	"21"	""		"12636.623"	"37974.186"	"6s.6p"	"3P*"	"1"	"6s.8d"	"3D"	"2"		""	"L9224"	
"394.75057"	"394.75056+"	"9"	""		"12636.623"	"37961.908"	"6s.6p"	"3P*"	"1"	"6s.8d"	"3D"	"1"		""	"L9224"	
"399.33989"	"399.33989+"	"530"	"5.5e+07"	E	"9596.533"	"34630.779"	"6s.5d"	"3D"	"3"	"6s.4f"	"3F*"	"4"		"T4515"	"L9224"	
"399.56551"	"399.56552+"	"61"	"8.8e+06"	E	"9596.533"	"34616.643"	"6s.5d"	"3D"	"3"	"6s.4f"	"3F*"	"3"		"T4515"	"L9224"	
"399.78728"	"399.78727+"	"1"	""		"9596.533"	"34602.765"	"6s.5d"	"3D"	"3"	"6s.4f"	"3F*"	"2"		""	"L9224"	
"408.09615"	"408.09612+"	"13"	""		"11395.350"	"35892.465"	"6s.5d"	"1D"	"2"	"6s.8p"	"1P*"	"1"		""	"L9224"	
"408.48673"	"408.48675+"	"43"	""		"13514.745"	"37988.434"	"6s.6p"	"3P*"	"2"	"6s.8d"	"3D"	"3"		""	"L9224"	
"408.72467"	"408.72471+"	"8"	""		"13514.745"	"37974.186"	"6s.6p"	"3P*"	"2"	"6s.8d"	"3D"	"2"		""	"L9224"	
"408.73435"	"408.73437+"	"9"	""		"12636.623"	"37095.486"	"6s.6p"	"3P*"	"1"	"5d.6d"	"3S"	"1"		""	"L9224"	
"413.24266"	"413.24266+"	"309"	"1.46e+06"	B	"0.000"	"24192.033"	"6s2"	"1S"	"0"	"5d.6p"	"3D*"	"1"		"T5037,T5495"	"L9224"	
"417.93487"	"417.93488+"	"14"	""		"13514.745"	"37435.176"	"6s.6p"	"3P*"	"2"	"6s.8d"	"1D"	"2"		""	"L9224"	
"422.39634"	"422.3963+"	"34"	""		"12266.024"	"35933.806"	"6s.6p"	"3P*"	"0"	"5d.6d"	"3D"	"1"		""	"L9224"	
"423.95552"	"423.9555+"	"25"	"2.4e+07"	E	"13514.745"	"37095.486"	"6s.6p"	"3P*"	"2"	"5d.6d"	"3S"	"1"		"T4515"	"L9224"	
"424.26050"	"424.2605+"	"17"	"5.6e+06"	E	"12636.623"	"36200.412"	"6s.6p"	"3P*"	"1"	"5d.6d"	"3D"	"2"		"T4515"	"L9224"	
"426.44174"	"426.4417+"	"42"	"1.5e+07"	E	"12266.024"	"35709.289"	"6s.6p"	"3P*"	"0"	"6s.7d"	"3D"	"1"		"T4515"	"L9224"	
"428.30973"	"428.3097+"	"530"	"6.4e+07"	E	"11395.350"	"34736.373"	"6s.5d"	"1D"	"2"	"6s.4f"	"1F*"	"3"		"T4515"	"L9224"	
"429.11571"	"429.1157+"	"26"	""		"12636.623"	"35933.806"	"6s.6p"	"3P*"	"1"	"5d.6d"	"3D"	"1"		""	"L9224"	
"430.51815"	"430.5181+"	"6"	""		"11395.350"	"34616.643"	"6s.5d"	"1D"	"2"	"6s.4f"	"3F*"	"3"		""	"L9224"	
"432.30031"	"432.3003+"	"61"	"8.8e+06"	C+	"12636.623"	"35762.187"	"6s.6p"	"3P*"	"1"	"6s.7d"	"1D"	"2"		"T5495"	"L9224"	
"432.51085"	"432.5108+"	"18"	"7.1e+06"	E	"13514.745"	"36629.053"	"6s.6p"	"3P*"	"2"	"5d.6d"	"3D"	"3"		"T4515"	"L9224"	
"433.29146"	"433.2915+"	"39"	"1.5e+07"	E	"12636.623"	"35709.289"	"6s.6p"	"3P*"	"1"	"6s.7d"	"3D"	"1"		"T4515"	"L9224"	
"435.03255"	"435.0326+"	"271"	"6.0e+07"	E	"12636.623"	"35616.949"	"6s.6p"	"3P*"	"1"	"6s.7d"	"3D"	"2"		"T4515"	"L9224"	
"435.95269"	"435.9527+"	"9"	""		"13514.745"	"36446.570"	"6s.6p"	"3P*"	"2"	"5d.6d"	"1P"	"1"		""	"L9224"	
"440.25386"	"440.2538+"	"273"	"2.7e+07"	C	"12636.623"	"35344.413"	"6s.6p"	"3P*"	"1"	"6p2"	"3P"	"2"		"T5429"	"L9224"	
"440.68319"	"440.6832+"	"29"	"1.0e+07"	E	"13514.745"	"36200.412"	"6s.6p"	"3P*"	"2"	"5d.6d"	"3D"	"2"		"T4515"	"L9224"	
"441.36612"	"441.3661+"	"13"	""		"13514.745"	"36165.312"	"6s.6p"	"3P*"	"2"	"5d.6d"	"1F"	"3"		""	"L9224"	
"443.18943"	"443.1894+"	"374"	"1.2e+08"	E	"12266.024"	"34823.406"	"6s.6p"	"3P*"	"0"	"6p2"	"3P"	"1"		"T4515"	"L9224"	
"446.70914"	"446.7091+"	"30"	"6.6e+06"	E	"13514.745"	"35894.395"	"6s.6p"	"3P*"	"2"	"5d.6d"	"3G"	"3"		"T4515"	"L9224"	
"448.8980"	"448.8980+"	"234"	"2.8e+07"	C+	"13514.745"	"35785.273"	"6s.6p"	"3P*"	"2"	"6s.7d"	"3D"	"3"		"T5495"	"L9224"	
